stName,Abbrev,pop2016,obesity_n,stObesityPer,diab_n,stDiabPer,statePop2010,housingUnits2010,medFamIncome,mcd_per_cap,st_low_inc_pop_per,st_snap_households_per,mcCount
Kansas,KS,2907289.0,642606.0,30.7550885385717,205369.0,9.84618051153057,2853118.0,1112096.0,49045181.0,5.09065318239776e-05,31.5372843910598,9.56500158259719,148.0
Kentucky,KY,4436974.0,1075658.0,32.8961936746198,401530.0,12.2746239099607,4339367.0,1719965.0,60782613.0,5.72462223127744e-05,38.1050238293035,17.1033712895321,254.0
Louisiana,LA,4681666.0,1172285.0,34.5235443300865,407621.0,12.0089224090447,4533372.0,1728360.0,63194853.0,5.2972595652915e-05,38.3862924010384,16.3055729130505,248.0
Maine,ME,1331479.0,290561.0,28.1550548457207,101875.0,9.86734678633283,1328361.0,557219.0,21291267.0,4.65647599398864e-05,32.8101306892561,17.1212754769669,62.0
Maryland,MD,6016447.0,1281191.0,28.9196800074381,451665.0,10.2076566433863,5773552.0,2156411.0,125167021.0,5.03619495027547e-05,22.2202239959897,10.3946325630875,303.0
Massachusetts,MA,6811779.0,1229148.0,24.081766450032,470307.0,9.22553785701734,6547629.0,2547075.0,127345224.0,3.61139138542222e-05,23.5869807285292,12.3274344100586,246.0
Michigan,MI,9928300.0,2314842.0,31.3987438710056,780102.0,10.5634116032511,9883640.0,3872508.0,166136894.0,5.55986422650403e-05,34.5207135159091,16.8871955848768,552.0
Minnesota,MN,5519952.0,1080787.0,27.0441551388563,314894.0,7.88146544196792,5303925.0,2087227.0,100021371.0,4.0217741023835e-05,25.8162752139874,8.89395355656093,222.0
Mississippi,MS,2988726.0,763631.0,35.2029591969068,295533.0,13.617708645556,2967297.0,1115768.0,31376287.0,4.91848366160029e-05,44.4887554094956,17.6134285980598,147.0
Missouri,MO,6093000.0,1380352.0,30.7593081575069,486462.0,10.8621352035464,5988927.0,2375611.0,84062882.0,5.2191038897095e-05,34.0380436566552,13.5820637301309,318.0
Montana,MT,1042520.0,190949.0,24.9711016700661,61923.0,8.09869150265655,989415.0,409607.0,15898894.0,4.50830679507348e-05,34.0400184169129,10.7100220455217,47.0
Nebraska,NE,1907116.0,402777.0,29.8098423700056,120222.0,8.8894153885557,1826341.0,721130.0,35172479.0,4.35212121339237e-05,29.9091927287066,9.28362431184391,83.0
Nevada,NV,2940058.0,553601.0,26.7990371622386,183281.0,8.8553926357548,2700551.0,1006250.0,42457233.0,5.16996603468367e-05,33.9060317857675,11.4267826086957,152.0
New Hampshire,NH,1334795.0,282496.0,27.9068012176195,95568.0,9.42874785776141,1316470.0,518973.0,23522182.0,4.42015440573272e-05,21.6768117950697,8.17826746285452,59.0
New Jersey,NJ,8944469.0,1707075.0,25.6273876508553,618166.0,9.26535299494595,8791894.0,3214360.0,178764331.0,2.90682431791088e-05,23.8787344447166,8.46607100635896,260.0
New Mexico,NM,2081015.0,365300.0,24.0000630729835,124463.0,8.18589271065764,2059179.0,791395.0,28386889.0,4.80534739057623e-05,42.2729293157426,14.7668357773299,100.0
New York,NY,19745289.0,3663663.0,24.5907469430556,1426272.0,9.57587005233195,19378102.0,7317755.0,367517076.0,3.40840794986592e-05,31.3858814626618,14.9787878932815,673.0
North Carolina,NC,10146788.0,2168169.0,29.7478178761778,800067.0,10.9676727710206,9535483.0,3745155.0,130573319.0,4.71085036959479e-05,36.1890679099632,14.3989768113736,478.0
