POP2010,OHU2010,MedianFamilyIncome,lapop20,lalowi20,lasnap20,TractLOWI,TractSNAP,lapop20_share,lalowi20_share,lasnap20_share
28111,10871,447017,106.89740398,40.172581705,2.375670828,12038,1371,0.3802689480274626,0.14290698198214222,0.17328014792122537
23796,9271,383070,0.0,0.0,0.0,7959,1168,0.0,0.0,0.0
116927,42069,1452191,0.0,0.0,0.0,31315,3395,0.0,0.0,0.0
10269,3413,98145,0.0,0.0,0.0,4667,417,0.0,0.0,0.0
15507,4894,241164,662.9473164000001,241.08463340000003,18.081555966,4439,582,4.275148748307216,1.5546826168826984,3.106796557731959
45413,16503,477153,0.0,0.0,0.0,18345,3288,0.0,0.0,0.0
121073,42933,1593055,125.32576340000001,26.04985521,3.655539212,57367,7488,0.10351256134728637,0.02151582533678029,0.04881863263888889
7818,2906,81246,5379.507082,3331.08223988,716.8581990700001,4084,801,68.8092489383474,42.60785673931952,89.49540562671662
10914,4377,113218,0.0,0.0,0.0,3604,394,0.0,0.0,0.0
120725,47975,2199689,0.5154654120000001,0.057523603,0.010877858,32710,3779,0.0004269748701594534,4.764845972250984e-05,0.00028785017200317546
3367,1156,62130,153.3456297,53.07043662,5.329535948999999,1323,91,4.5543697564597565,1.5761935438075438,5.856632910989011
3309,1374,40982,3212.294417,1457.964508,146.6157669,1558,133,97.0774982472046,44.0605774554246,110.23741872180453
12860,5469,193423,0.0,0.0,0.0,6175,932,0.0,0.0,0.0
13783,3839,244571,991.2186844,528.8806712300001,72.828192237,5052,693,7.191603311325546,3.8371956122034394,10.509118648917749
7383,2841,105253,1.433469035,0.706977917,0.069479339,2929,440,0.019415807056752,0.009575753988893404,0.015790758863636362
929,359,84643,543.7437377,69.81693242,3.770464361,118,6,58.53000405812702,7.515277978471476,62.84107268333333
16622,6541,248107,0.0,0.0,0.0,6849,1290,0.0,0.0,0.0
78337,26448,1076719,0.0,0.0,0.0,16243,1696,0.0,0.0,0.0
10501,4165,192513,0.0,0.0,0.0,4798,575,0.0,0.0,0.0
53330,18476,744710,0.0,0.0,0.0,18454,2049,0.0,0.0,0.0
10834,4738,115626,0.0,0.0,0.0,5407,389,0.0,0.0,0.0
8865,3625,125179,0.0,0.0,0.0,4814,488,0.0,0.0,0.0
26384,10096,210204,0.0,0.0,0.0,10840,1965,0.0,0.0,0.0
64804,22637,957058,0.0,0.0,0.0,24074,2842,0.0,0.0,0.0
6131,2257,88573,107.30940020000001,46.51124297,2.632649957,2525,187,1.7502756516065896,0.7586240901973577,1.407834201604278
3461,1182,62361,97.72639240000001,47.51270596,2.694112079,1151,74,2.823646125397284,1.3728028303958393,3.6406919986486486
16921,5838,250015,7.9155265660000005,2.347716929,0.250690582,5766,755,0.04677930716860706,0.013874575551090361,0.033204050596026484
3378,1367,61875,0.0,0.0,0.0,1164,153,0.0,0.0,0.0
25448,9648,281914,0.0,0.0,0.0,13148,1749,0.0,0.0,0.0
3034,1081,59659,1.037541322,0.243967323,0.025758225,1196,50,0.03419714311140409,0.00804111150296638,0.05151645
209714,79055,2350756,0.0,0.0,0.0,83287,9183,0.0,0.0,0.0
8490,3078,127549,0.0,0.0,0.0,2597,293,0.0,0.0,0.0
60968,17001,473725,1048.326873059,621.0439523539999,72.012010031,42005,6985,1.719470661755347,1.0186392080337223,1.0309521836936293
9630,3665,145286,0.0,0.0,0.0,3781,505,0.0,0.0,0.0
1143,440,55500,1142.837975,540.0606293999999,21.30240992,620,23,99.98582458442694,47.24939889763779,92.61917356521738
1490,642,55313,2.624095649,0.873524458,0.127391634,610,53,0.17611380194630874,0.05862580255033557,0.24036157358490567
4128,1550,52742,129.902516,48.40275032,5.1094587460000005,1492,127,3.146863275193798,1.1725472461240312,4.023195862992127
